"","CLL2105_T48","CLL2474_T0","CLL2479_T48","CLL2648_T48","CLL2654_T0","CLL2771_T0","CLL2783_T0","CLL3024_T48","CLL3045_T0","HD108_T48","HD110_T48","HD112_T48","HD113_T48","HD91_T0","HD92_T0","HD93_T0","HD94_T0","HD96_T0"
"ENSG00000132141",24,51,11,26,17,58,16,18,20,14,9,9,17,8,10,17,2,11
"ENSG00000132153",3939,1418,2592,3368,1505,1803,2288,3650,2212.76,2478,3358,5322,2659,1031,1103,1485,1085,1155
"ENSG00000132155",2998.14,2128.81,2589.25,3289.1,2677.37,2526.7,2725.09,3162.95,2653.69,2628.74,3230.03,3580.3,2633.82,2087.5,2133.26,2778.74,1926.36,2073.25
"ENSG00000132164",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000132170",20,1,26,14,0,4,3,37,3,24,25,28,52,7,13,6,0,1
"ENSG00000132182",8245,4642,5982,11987,5712,5148,7320,10072,9352,8673,9890,17700,11159,2649,3526,4300,2658,3091
"ENSG00000132185",22,0,60,9,18,0,0,0,5,4,4,2,12,0,0,0,0,0
"ENSG00000132196",386.38,523.39,357.67,438.21,634.11,479.79,462.46,258.37,537.43,399.45,505.45,353.46,448.4,604.56,623.53,774.27,584.5,595.92
"ENSG00000132199",1030.7,902.62,1039.1,1354.52,472.29,1232.09,664.65,1146.4,1171.22,949.88,1112.24,1031.38,988.67,591.39,706.47,573.62,297.36,386.83
"ENSG00000132204",0,4,0,1,16,0,4,0,2,0,0,0,0,0,0,0,0,0
"ENSG00000132205",368,81,181,589,38,88,54,498,115,208,248,399,341,51,31,41,30,31
"ENSG00000132207",640.51,779.62,470.98,1423.87,635.03,588.61,1449.23,1035.56,1067.27,825.15,1369.02,2570.21,825.55,523.37,502.35,972.48,177.31,500.87
"ENSG00000132254",1028,615,773,888,811,592,730,885,801,777,907,1100,744,477,585,761,522,605
"ENSG00000132256",338,762.99,585,229,755,1014,643,274,746.98,703,850,604,403,991.99,881,1825.99,745,1135
"ENSG00000132259",3,4,0,0,2,4,2,2,3,2,0,3,1,0,3,0,2,4
"ENSG00000132274",2791,8558.91,10939,1686,7804,6970,6807,1742,6822,8337.82,9206,4549,3108,14006,11463,15647,7092,10285
"ENSG00000132275",915,734,765,917,859,690,685,862,930,568,939,841,685,486,473,749,537,601
"ENSG00000132286",828,640,899.15,989,777.46,771.44,662.02,948,888.49,712,929.05,833.02,699,616,604.83,854.04,718,705.67
"ENSG00000132294",2375,2401,2647,3228,2376,2631,1969,2600,2181,2671,3036,2564,2489,1994,1913,3898,1425,2748
"ENSG00000132300",2642,2031,2423,2372,2426,2006,1959,2331,2106,2406,3047,2894,2637,1372,1591,1393,1282,1323
"ENSG00000132305",4221,1546,3495,5607,1511,1528,1462,4311,1532,4019,5719,4755,4347,1308,1198,2247,1323,1285
"ENSG00000132313",2092,639,1346,2066,671,787,546,1881,603,1563,2288,1414,1549,302,294,460,355,373
"ENSG00000132321",4,9,5,7,3,12,5,8,0,11,14,21,19,8,1,1,6,1
"ENSG00000132323",1199,863,1110,1139,916,1027,902,1328,909,1143,1388,1405,1000,762,733,837,710,847
"ENSG00000132326",615,236,416,608,679,277,420,501,342,422,569,592,330,236.91,305.96,484,222,395.96
"ENSG00000132329",14,1,10,7,1,0,1,5,1,3,3,7,0,1,6,0,0,1
"ENSG00000132330",1274.24,275,611,1134.99,280,397,414.59,994.57,434,646.94,940.74,929.99,649,123,245.07,164.55,160.92,154
"ENSG00000132334",1203,848,893,1009,786,1089,898,1495,947,856,983,960,892,691,754,1602,427,1530
"ENSG00000132341",28142.92,2602.97,17044.05,29465.35,2346,3196,2404,29232.64,2285.98,16463.55,22601.95,18889.96,17575.95,2429.98,1887,3203,2097,1897
"ENSG00000132356",3015,3635,3070,2886,3430,3925,2765,2768,3434,3559,4515,3025,3568,2189,2299,3624,2289,2644
"ENSG00000132357",76,141,125,141,34,109,110,116,130,100,177,86,146,24,25,24,21,3
"ENSG00000132359",25,661,91,215,261,216,78,70,587,90,110,124,108,110,79,197,20,472
"ENSG00000132361",5260,774,3050,4749,790,750,1310,5080,1715,2559,3625,6226,2821,361,378,575,258,462
"ENSG00000132376",381,976,681,463,794,1046,1035,531,1230,719,761,926,591,513,588,1130,560,855
"ENSG00000132382",4796.98,751,3416,4171.93,825,988.97,1204.98,4443.97,1460.99,2390,3603.96,4495,2642,411,517,482,375,458
"ENSG00000132383",4952,2027,3888,5348,2208,2632,1904,4943,2141.05,3631,4813,4425,4104,1180,1222,2141,1043,1127
"ENSG00000132386",12,20,27,12,4,37,5,11,13,20,18,10,13,3,1,4,16,0
"ENSG00000132388",2240,1501,1910,2021,1446,1571,1186,1951,1441,1904,2504,2310,1982,1060,826,1752,759,877
"ENSG00000132394",455.99,203.4,370.19,576.26,250.19,245.95,384.58,418.19,314.86,377.82,521.32,800.3,428.15,211.64,140.99,278.98,112.85,170.6
"ENSG00000132405",1823.7,2111.33,2089.67,1933.57,2301.54,2623.82,2353.33,1879.16,2901.02,1754,2231.85,2777.02,2216.6,1046.13,1099.07,1298.31,753.48,1044.65
"ENSG00000132406",595,483,454,537,338,491,364,502,399,549,531,478,488,276,222,472,189,259
"ENSG00000132423",435,46,205,394,61,55,38,366,49,286,351,248,279,38.53,27,39,22,20
"ENSG00000132424",4278,12278,8152,4095,18350.95,13558.92,11142.99,4165,12999.89,5127.96,6252,3973,4959,8246.85,11856,7166.96,7842.9,8653
"ENSG00000132429",3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0
"ENSG00000132432",1491,530,1279,1949,732,475,437,1428,301,1358,1961,1250,1470,609,449,1100,517,586
"ENSG00000132434",854,200,524,736,166,205,151,757,183,411,535,560,367,36,58,48,49,43
"ENSG00000132436",1774,335,848,2311,739,570,389,2053,402,1491,1951,1492,1842,545,642,590,340,444
"ENSG00000132437",2,1,3,2,0,1,0,5,0,0,2,0,1,0,2,1,0,0
"ENSG00000132463",4527,1888,3520,5168,1957,1983,1629,4989,1732,3704,4217,3927,3558,1466,1240,1763,948,1145
"ENSG00000132465",4,0,64,6,0,0,1,34,0,52,15,12,14,1,0,2,2,0
"ENSG00000132466",4327,2575,3513,4307,2858,3278,3108,4181,3606,3384,4265,4670,3787,1889,1908,2122,1602,1523
"ENSG00000132467",2266,1293,2060,2296,1058,1613,958,2410,873,1808,2179,1459,1541,667,556,980,645,798
"ENSG00000132470",4,7,7,8,7,2,14,12,4,4,16,30,8,3,2,5,0,1
"ENSG00000132471",968,2269,1449,1139,3416,2654,3074,1070,3299,1889,2386,2464,1935,2473,2971,3399,2766,2596
"ENSG00000132475",15117.02,8720.03,15855,16802,9836.02,9567.1,7675,17237.12,7864.97,17936,23083.1,20297.02,16494,14285.01,11428,18205.04,13248.99,10277
"ENSG00000132478",546.98,759.97,649.96,720,671.93,897.9,929.93,613.88,1047.97,839,879.9,1143.95,671,461.99,440.81,664.96,300.92,460
"ENSG00000132481",194.18,51,122.27,115.96,66.66,80.34,49.17,193.21,94.91,242.37,217.08,665.86,333.59,55,20,48.19,38.92,18
"ENSG00000132485",4843,5136.66,4710.87,4961,5269.86,5670.93,3385.98,4770,4320.9,3898.98,5661.93,3269.98,4699,2528,3038,3297,2826,3250
"ENSG00000132507",26482.94,2598.82,14661.95,25842.92,2547.2,2562.66,2608.72,23948.97,2461.85,14217.83,18331.96,22038.92,14061.94,2213.48,1797.94,3096.98,1996.8,1910.42
"ENSG00000132510",4531,1517,3590,2170,4017,1991,4343,3282,3616,2477,2824,3544,2002,3053,3742,3241,3154,2885
"ENSG00000132514",45,3,0,9,0,3,0,72,0,1,3,0,0,2,4,0,0,0
"ENSG00000132517",1,16,8,3,17,49,22,5,16,5,12,7,3,3,3,7,0,5
"ENSG00000132518",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"ENSG00000132522",1173.75,1560.17,1342.53,896.84,1456.86,1695.49,1763.58,1255.8,1690.74,1325.25,1649.7,1875.98,1116.12,916.51,797.73,1037.31,612.2,864.03
"ENSG00000132530",1227.7,1621.32,7907.37,450.61,899.22,1318.21,1552.73,819.91,1251.09,8829.84,9186.52,6182.4,4027.55,6695.9,5362.51,5353.54,1758.94,1681.81
"ENSG00000132535",117,158,108,98,413,285,216,115,408,160,243,251,261,131,241,177,200,168
"ENSG00000132541",334,83,242,352,116,117,64,324,76,279,344,259,281,49,45,58,25,46
"ENSG00000132549",1260,1905,1616,1311,1728,2549,2349,1262,2818,1515,1570,1966,1354,1417,1164,1362,1050,1010
"ENSG00000132554",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ENSG00000132561",1,3,6,10,9,11,5,6,4,0,1,10,5,1,6,8,5,8
"ENSG00000132563",9,5,19,28,6,1,6,46,7,49,45,82,44,3,4,3,0,5
"ENSG00000132570",266,313,280,365,312.63,387,220.5,325,366,333,420.6,293,272,109,139,119,52,115
"ENSG00000132581",506,509,525,522,428.28,505,473.6,560,481,689.1,763.81,733.94,630.1,339,227.98,453.05,263,288
"ENSG00000132589",1137,2801,1840,1667,2605,3276,3188,1530,4340,2441,2605,3968,2476,1358,1144,1926,925,1179
"ENSG00000132591",1640.94,344,1054.82,1424.73,326,391,394,1628,423,946,1339,1481.92,1057,162,226,234,160,218
"ENSG00000132600",970.3,472.79,1023.51,856.83,606.44,698,751.22,892.79,1093.14,852,1120.72,1363.82,801.74,324,411.45,453.22,231.03,316.94
"ENSG00000132603",3315.84,707.24,2300.33,2930.19,545.8,679.68,564.34,3137.1,636.76,1717.1,2473.3,1776.91,1903.34,562.19,416.05,657.11,436.54,507.1
"ENSG00000132604",1557.99,942,1052,1372,1134,1144,1026,1350,1041,1102,1656,1451,1313,826,744,1245,790,912
"ENSG00000132612",1918.83,1678.02,1816.49,1913.63,1936.94,1745.27,1886.24,1976.44,2211.05,1786.41,2199.49,2649.15,1869.8,1096.29,1181.98,1536.16,943.66,1183.02
"ENSG00000132613",17,47,9,0,60,66,39,11,53.9,41,46,44,15,18,0,5.9,66,29
"ENSG00000132622",1,10,1,35,5,0,2,4,2,0,0,53,4,0,12,0,0,0
"ENSG00000132623",127,225,208,91,204,245,151,154,249,179,233,274,238,84,89,132,68,101
"ENSG00000132631",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"ENSG00000132635",184,910,554,336,950,756,1016,270,1218,320,438,474,361,389,389,411,224,416
"ENSG00000132639",0,3,2,5,2,3,0,0,3,2,0,1,0,0,0,1,1,2
"ENSG00000132640",116.96,5,37.24,21,11,15,14,92,22,28,64,51.93,88,3,10,9,32,18
"ENSG00000132646",10718,1010,6368,16609,695,1106,729,12969,867,10343,12066,10926,10550,284,207,557,255,377
"ENSG00000132661",756,209,726,773,270,216,273,708,261,617,849,893,644,247,202,470,349,264
"ENSG00000132664",895,448,593,896,391,427,312,796,325,597,697,518,580,321,237,382,338,249
"ENSG00000132669",17,0,2,18,0,3,0,31,2,1,8,1,0,9,0,3,3,1
"ENSG00000132670",1295,2264,1440,1853,2455,2146,2087,1438,2400,2313,2618,2842,2202,1972,1459,3104,1192,1681
"ENSG00000132671",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ENSG00000132676",3452.26,1519,3282,3300,2187.44,2089,1633.07,3341,1734.87,2567,3329,2940,2757.09,1516.11,1541,1765,1239,976
"ENSG00000132680",1706,2757,1703,1900,2829,2744,2345,1854,2930,1505,2036,1450,1970,1914,2116,1793,1894,2821
"ENSG00000132681",1,1,0,0,0,0,0,0,0,0,3,1,4,0,1,0,0,0
"ENSG00000132688",2,0,1,15,1,0,0,8,0,4,1,6,3,0,6,0,0,0
"ENSG00000132692",0,0,2,2,0,0,0,0,0,0,1,0,1,0,0,2,1,0
"ENSG00000132694",143,357,167,123,200,249,95,186,603,135,177,187,167,54,77,53,74,52
"ENSG00000132698",5,1,4,1,6,8,3,3,11,12,12,5,8,3,5,4,2,5
"ENSG00000132702",0,3,0,2,3,0,1,0,3,0,1,0,0,0,0,0,0,0
"ENSG00000132704",25,0,113,0,24,9,8,6,12,0,0,1,3,1,0,0,3,3
"ENSG00000132716",2217.34,5290,2930,1903,6476.98,5742.32,6374.97,2182.73,5709.21,3009.42,3563.65,3225.64,3181.17,4866.89,6153.6,5537.23,4303.21,5744.33
"ENSG00000132718",325,1655,696,1450,1198,1641,1428,823,1394,1736,1909,1693,1749,1350,1112,3195,554,1629
"ENSG00000132740",596,824,426,677,976,1321,782,818,600,576,542,914,510,704,347,948,349,397
"ENSG00000132744",3,0,2,7,0,0,0,6,6,0,7,8,2,0,0,0,0,0
"ENSG00000132749",24,90,62,40,96,102,39,15,115,61,57,83,39,36,39,55,31,19
"ENSG00000132763",312.76,96.24,194.24,241.29,92.47,79.85,74.02,291.82,75.63,176.38,248.74,207,218.61,38.95,39.8,47.47,20.43,41.46
"ENSG00000132768",2437.98,409.97,1499.99,1978.99,342,433.95,484,2096,477,1044,1486.94,1949.94,1081,170.93,180.99,211,133.99,173
"ENSG00000132773",1655.28,306.14,788.74,1523.95,278.43,301.03,284.76,1621.13,313.12,695.88,987.05,1136.58,824.01,130.62,111.32,184.48,143.34,159.77
"ENSG00000132780",7311,2124,5200,8405,2377,2289,1824.99,7571,2186,6363,7844,6926,6659,1549,1651,1850,1591,1392
"ENSG00000132781",534.72,434.86,489.26,544.75,410.84,506.97,637.24,534.87,638.05,530.73,771.95,904.31,606.99,236.97,248.47,242.24,226.66,211.59
"ENSG00000132792",1607,650,1170,1546,667,816,596,1489,765,1291,1638,1598,1252,625,415,798,408,470
"ENSG00000132793",9,8,8,2,4,14,12,19,6,16,21,35,34,4,3,0,2,0
"ENSG00000132801",133,140,72,155,114,192,147,143,203,159,177,178,210,79,37,78,31,41
"ENSG00000132819",2967.59,1472,2193.37,2416,2243.38,1963.31,3392.02,2602,3599.1,2172.59,2497,4894.17,2167.59,1643,1652.19,2641.1,1377.65,1694.25
"ENSG00000132821",2,0,0,0,1,5,1,0,3,1,0,1,0,0,0,0,0,0
"ENSG00000132823",417,835,425,520,818,780,638,464,745,525,614,527,478,1016,801,1386,1199,995
"ENSG00000132824",2028,3978,2534,2587,5033,4857,2928,2306,4065,3549,3826,3195,3226,3652,3252,5978,3305,3813
"ENSG00000132825",228,334,197,171,293,391,384,300,386.88,285,361,284,308,192,152,342,128,277
"ENSG00000132832",0,17.51,7.52,0,11.08,43.23,4.71,2.16,14.24,9.16,0,10.65,0,0,3.09,2.96,2.81,2.71
"ENSG00000132837",0,4,0,0,8,3,4,0,2,1,0,0,6,7,1,3,1,1
"ENSG00000132840",0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"ENSG00000132842",2062,941.83,1712,2509,736,928.8,709.09,1203,918,2038,2465,2209,1712,711,449,884,441,574
"ENSG00000132846",22.46,59,34,39.86,69,101,54,33.71,79.72,33.84,60.14,27,42,16.4,38,36,40,36
"ENSG00000132849",190,918,570,215,830,971,649,287,870,781,915,769,727,840,860,576,832,435
"ENSG00000132854",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000132855",0,3,0,0,1,0,0,0,1,0,1,4,3,1,11,0,0,0
"ENSG00000132872",0,0,0,0,8,1,0,0,1,1,5,1,0,9,16,8,32,7
"ENSG00000132874",24,4,3,19,0,1,2,9,4,0,2,2,8,3,3,0,0,5
"ENSG00000132879",175,619,487,191,805.85,657,858,205,922,420,614,749,381,488,747,483.05,503,504
"ENSG00000132881",30,52,27,24,82,107,97,25,82,27,21,87,40,39,23,55,18,50
"ENSG00000132906",141,230,230,187,337,272,283,159,284,234,307,404,290,187,158,245,132,146
"ENSG00000132912",1432,970,988,1556,840,1006,790,1356,889,1115,1293,1181,1143,809,1016,1011,842,838
"ENSG00000132915",1,0,2,2,0,0,2,6,1,4,0,0,4,0,1,0,0,0
"ENSG00000132932",47,50,53,42,11,31,23,40,40,56,40,70,60,7,8,5,13,8
"ENSG00000132938",1,1,6,1,2,1,0,3,0,0,0,2,4,0,0,0,0,0
"ENSG00000132950",299,626,447,322,707,721,758,296,733,440,548,450,456,845,754,1035,750,728
"ENSG00000132952",918,1099,1053,791,1330,1170,1097,817,1064,870,1150,763,985,912,1054,1389,967,1222
"ENSG00000132953",3348,1613,2465,3277,1581,2278,1553,3256,2001,2115,2593,2508,2389,928,886,1327,895,978
"ENSG00000132958",0,0,0,3,0,0,0,0,2,0,0,0,0,0,2,1,3,0
"ENSG00000132963",3628,600,2473,3142,509,569,410,3532,319,2682,3292,1989,2534,520,382,850,418,521
"ENSG00000132964",990,332,587,999,373,394,399,964,343,594,934,747,718,343,288,388,251,283
"ENSG00000132965",121,744,487,279,1085,1295,1093,267,900,1136,1088,848,1187,1204,758,2262,859,575
"ENSG00000132967",528.56,186.88,406.44,858.07,144.27,263.89,150.7,845.12,158.03,523.15,724.08,393.58,501.23,119.54,92.56,174.78,73.99,86.2
"ENSG00000132970",4.12,0,6,0,2,0,0,2.06,0,0,0,4,3,0,0,2,0,0
"ENSG00000132972",0,0,0,0,0,0,0,1,0,0,80,0,0,9,0,0,0,0
"ENSG00000132975",0,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0
"ENSG00000133019",1,1,1,7,2,0,4.49,2,0,0,1,0,0,0,1,0,1,0
"ENSG00000133026",295,84,88,350,82,91,76,366,111,327,394,465,325,42,90,60,91,34
"ENSG00000133027",213.99,87,148,220,70,63.86,102,263.92,93,112,177,303.99,142,43,22,55,15,27.56
"ENSG00000133028",1899,946,1370,1809,833,998,760,1980,1012,1346,1708,1534,1342,496,543,783,456.77,595
"ENSG00000133030",3102,5735,4436.1,3963,9615,7708.13,7205,3479,10299.94,3772,4416,5911.33,3440,3587,3980,4641,2796.41,3580
"ENSG00000133048",91,0,5,285,0,0,0,54,0,21,2,5,1,0,2,0,0,0
"ENSG00000133056",466,748,702,747,1312,937,1145,577,1129,1029,1022,1643,1314,1260,1263,1387,810,1193
"ENSG00000133059",1118,896,895,2053,1008,974,819,1279,1165,719,960,747,569,520,512,612,474,524
"ENSG00000133063",1,4,0,3,1,2,0,0,5,2,8,9,5,0,0,0,4,1
"ENSG00000133065",1228,1078,1251,1421,1750,1088,1266,1477,1199,1270,1850,1820,1503,997,975,1399,843,935
"ENSG00000133067",0,156,16,2,148,302,270,30,338,44,9,11,12,145,82,385,21,138
"ENSG00000133069",641,57,138,564,43,73,105,375,65,51,109,155,81,49,38,104,32,31
"ENSG00000133083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000133101",3,0,2,11,0,0,0,15,0,2,0,4,2,0,0,0,0,0
"ENSG00000133103",510,625,440,484,648,565,506,564,444,506,646,408,541,347,325,674,203,304
"ENSG00000133104",1604,1019,1625,943,1321,1029,1007,1106,1125,786,1259,1168,853,1146,1157,956,1258,642
"ENSG00000133106",571,406,2283,449,56,419,202,529,229,3066,2843,2582,1126,1424,781,1422,246,270
"ENSG00000133111",329,216,431,426,329,297,209,433,275,310,522,383,421,110,174,145,91,113
"ENSG00000133112",30872.9,86829.86,71077.81,34533,120711.93,109688.72,85399.49,32654.11,87610.99,41594,59618.41,48169.24,41667.99,113692.09,88070.99,123924.73,105645.57,63370.09
"ENSG00000133114",884,947,826,1052,868,972,691,960,906,747,997,763,805,393,422,573,392,348
"ENSG00000133116",5,5,15,11,0,13,4,10,11,10,6,6,16,0,3,0,0,2
"ENSG00000133119",2602,168,1011,3439,119,188,98,2796,136,1627,2101,1414,1930,60,42,86,22,60
"ENSG00000133121",5,0,6,1,0,0,0,12,2,0,0,6,8,0,0,0,0,1
"ENSG00000133124",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0
"ENSG00000133131",347,385,292,435,411,381,260,441,400,282,367,444,317,285,371,583,385,433
"ENSG00000133134",170.97,283,305,81,386,246,332,104,345,192,227,198,242,211,250.94,262,441,349
"ENSG00000133135",0,0,2,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0
"ENSG00000133136",0,1,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0
"ENSG00000133138",64,75,57,85,103,100,61,82,116,119,105,79,109,66,38,37,19,52
"ENSG00000133142",290,381,343,200,314,512,186,351,287,316,364,234,330,407,286,386,196,81
"ENSG00000133169",4.03,2,6,3,3,3,3,0,9,7,9,7,0,4,6.06,5,3,0
"ENSG00000133193",1181.18,1248.28,1411.85,1187.99,1354.53,1424.09,1251.06,1218.3,1308.71,1404.38,1547.39,1473.26,1256.38,964.77,791.31,1265.3,652.56,862.23
"ENSG00000133195",224,180,141,322,113,169,106,208,162,181,227,223,213,61,47,111,49,86
"ENSG00000133216",4,5,1,4,0,3,0,11,2,3,0,72,3,0,1,0,1,0
"ENSG00000133226",7504.95,4266.95,5287.93,6560.99,9710.83,4949.93,5662.93,6572.92,5062.98,5347.62,6700.9,5785.98,5943.92,6060.97,6891.37,6083.96,6402.82,5538.93
"ENSG00000133243",339.47,1034.52,616.35,435.04,1652.5,1097.57,2098.46,278.47,2534.72,695.6,791.03,1548.47,830.8,752,958.13,1092.38,705.96,880.34
"ENSG00000133246",3,37,4,3,15,8,16,8,38,2,2,7,3,8,6,4,8,8
"ENSG00000133247",118,210,127,139,437,274,439,137,440,230,263,306,213,258,411,375,370,431
"ENSG00000133250",90,215,147,127,218,229,348,123,399,179,183,307,152,103,153,192,107,117
"ENSG00000133256",74,82,128,72,57,92,67,57,94,147,151,173,153,67,14,64,20,16
"ENSG00000133265",986,187,630,770,124,222,227,946,330,448,584,1298,500,42,64,102,52,46
"ENSG00000133275",1131,2456,1972,1267,3126,2944,4359,1238,4390,1860,2408,3883,2073,2470,2056,3160,1758,2143
"ENSG00000133302",548,492,458,1004,638,463,502,750,441,541,753,580,726,533,408,834,244,705
"ENSG00000133313",3631,1762,3062,3387,1710,2116,1920,4456,2220,3319,4248,4561,3443,1058,970,1477,822,747
"ENSG00000133315",124,116,67,177,101,65,125,123,151,68,96,183,120,43,27,80,30,20
"ENSG00000133316",1789.55,539.71,1329.98,1238.91,696.57,597.19,768.32,1346.66,666.78,1026.72,1382.94,1424.15,1006.43,361.46,448.73,540.67,551.72,789.13
"ENSG00000133317",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,7,0
"ENSG00000133318",1383.99,1182.97,1209,2162,1585,1567,929,1880,1194.99,2146,2365.97,2001,2170,787,752,1076,639.99,567
"ENSG00000133321",228,1605,841,155,1455,1599,1201,225,1238,787,796,797,516,1973,1145,3106,832,1585
"ENSG00000133328",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,3
"ENSG00000133392",25.06,32.21,9.04,28.08,32,41.17,39.21,35,54.09,24.06,9.02,16.02,17,11.04,26.01,7.01,25.04,38.03
"ENSG00000133393",1176,675,816,1284,673,764,416,1241,485,1169,1144,847,930,378,265,586,250,358
"ENSG00000133398",1132,697,866,1066,888,715,616,1063,682,962,1073,1062,983,596,563,802,476,707
"ENSG00000133401",15,11,16,20,22,14,12,3,32,6,8,12,4,9,14,13,22,10
"ENSG00000133422",1326.57,986.93,1128.95,1246.46,753.1,901.46,717.99,1149,1379.28,1071.1,1562.02,1747.15,1304.52,290,318,457.63,402,381
"ENSG00000133424",22,3,3,12,43,25,10,13,12,7,45,45,11,32,12,39.46,6,6
"ENSG00000133433",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"ENSG00000133454",0,2,2,3,2,2,11,7,10,0,10,8,73,1,5,0,2,0
"ENSG00000133460",87,333,128,135,399.84,305.78,353,104,448.36,136.98,164.99,125,115,204,141.59,225.71,162,208.59
"ENSG00000133466",70,549.86,256,95,858.55,659.73,815.85,45,937.56,194,225,254.76,269,228.82,316.25,315.34,221,375.54
"ENSG00000133475",0,0,0,0,0,0,0,0,0,0,1,0,1.01,0,0,0,0,2.04
"ENSG00000133477",38,4,19,9,24.29,21,16.78,31,19,12,9,10,8,10,16,6,27,6
"ENSG00000133488",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000133519",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"ENSG00000133561",914,4722,2498,821,3354,5317,3283,950,5369,2970,3281,3284,2489,1918,1263,3174,807,1668
"ENSG00000133574",1146,7760,3921,859,4876,6889,4113,1357,5658,5560,5331,5179,4091,4533,3666,7477,3353,3927
"ENSG00000133597",410,256,313,512,283,304.39,335,436,429,419,390,760,392.84,251,245,338,210,223
"ENSG00000133606",1420,2949,3307,1476,3351,3334,2838,1286,2648,2255,3495,2888,3064,3574,2863,3232,2556,2787
"ENSG00000133612",345,369,370,438,685,457,947,551,763,409,464,860,574,404,382,767,249,325
"ENSG00000133619",119,160,166,151,188,265,403,176,361,150,215,431,166,121,133,155,80,96
"ENSG00000133624",317,1094.46,610.22,285.4,1634.07,1363.7,1585.87,336.68,1543.39,412,608.02,371.38,363.48,944.17,969.28,906.68,594.92,980.47
"ENSG00000133627",232.16,107.86,191.54,290.04,155.42,186.45,154.51,220.95,152.82,182.81,228.26,209.14,206.82,84.67,65,125.2,47.92,105.38
"ENSG00000133639",4943.11,15373.24,9541.22,4494.61,23747.18,17334.28,19686.28,2842.42,14251.12,6889.04,8817.1,6744.77,4656.73,33011.26,21505.45,39639.2,24397.63,17957.95
"ENSG00000133640",1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"ENSG00000133641",1132.8,587.6,1005.09,992.83,673.17,670.26,500.65,1073,550.61,903.61,1010.84,627.84,837.31,326.51,339.64,595.22,343.97,365.65
"ENSG00000133657",8599,2278,5848,11214,2387,2454,1869,8558,2245,4763,5743,5108,5120,1840,2499,3277,2614,3034
"ENSG00000133661",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000133665",0,0,0,0,0,0,0,2,0,1,2,0,3,0,0,0,0,0
"ENSG00000133678",262,288,283.56,362,364.3,242,245.4,301.01,326.57,299,328.39,256.35,226,139,153,149,106,105.59
"ENSG00000133687",7,1,0,9,0,0,0,25,0,7,5,5,0,0,8,0,3,0
"ENSG00000133703",2087,2062,2499,1735,3014,3481,1876,1504,2207,3945,3251,2083,2701,2655,3062,3399,3564,2667
"ENSG00000133704",2420,2002,2215,2452,1885,2374,1594,2339,1784,2429,2676,2204,2310,966,1037,1588,801,1124
"ENSG00000133706",6901,2643,5503,5913,2835.87,3324,2517,5889,3014,4489,6222,4923,4844,1924,2042,2225,2289,2017
"ENSG00000133731",1835,739,1463,1710,680,817,561,1816,568,1254,1610,1160,1620,517,552,922,399,490
"ENSG00000133739",419,173,366,579,195,297,209,497,187,512,540,289,453,118,64,151,54,106
"ENSG00000133740",247.55,200.27,231.4,179.03,313.08,217.37,180.9,239.45,152.16,137.1,162.59,123.22,147.79,184.71,307.82,230.85,274.79,281.22
"ENSG00000133742",0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000133773",2079,864,1663,1856,1186,1064,764,2099.06,649,1419,1859,1330,1394,802,685,968,847,744
"ENSG00000133789",264,177,308,365,258,413,254,474,215,326,449,401,543,248,186,391,241,180
"ENSG00000133794",622,1693,784,549,1564,1523,1412,552,1830,1042,951,932,849,1785,1887,2658,1053,1804
"ENSG00000133800",0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0
"ENSG00000133805",482,440,408,427,732,1178,951,519,721,464,402,784,605,489,467,360,329,273
"ENSG00000133812",148.26,310.65,113.61,159.36,430.27,430.96,450.9,128,349.01,209,188,225.99,236,400,318,500,218,372
"ENSG00000133816",1185,752.96,788,2290,498,1097,759,2286,733,3919,3167,3682,3897,523.3,207,365,152.94,375
"ENSG00000133818",1178,342,648.98,1796,399,259,403,1193,280,541,1012,767.99,873,472,291,1061,258,521
