IsolabMidas,CLL_02,CLL_03,CLL_04,CLL_05,Control_01,Control_02,Control_03,Control_04,Control_05,Batch_01,Batch_02,Batch_03,Batch_04,Batch_05
Methionine,0.001043362,0.001025565,0.001135399,0.001249736,0.001320826,0.001025677,0.000810804,0.00083237,0.001137351,0.049721278,0.033037475,0.039616827,0.048222931,0.033806396
NAD+,0.000666561,0.001093819,0.001147147,0.001003178,7.16E-05,0.0002092,0.000687905,0.000389786,0.001156422,0.035933462,0.032821799,0.031774975,0.03390226,0.032062589
NADH,0.000940175,0.001281218,0.001199749,0.001153134,0.00010199,0.000262346,0.0009511,0.000585875,0.00139011,0.037916669,0.036174875,0.036349709,0.03605731,0.036921751
NADP+,0.000132975,0.000193213,0.000160274,7.45E-05,0,8.55E-05,0.000106622,9.09E-05,0.000249235,0.006530054,0.005069883,0.006291752,0.004379671,0.005722348
NADPH,7.72E-05,0.000166706,8.71E-05,0.000177052,6.34E-06,1.29E-05,0.000167298,4.86E-05,0.000218587,0.005050873,0.003932354,0.004229465,0.004418428,0.005226961
Nitrosoglutathione,0.001344662,0.001066288,0.002226125,0.002056678,0.001756898,0.00180867,0.001825917,0.00187913,0.00184687,0.066406663,0.071812459,0.069042626,0.068455925,0.064938974
Ornithine,0.005258772,0.00195314,0.004796141,0.004493946,0.003600551,0.002881056,0.002597038,0.002345296,0.002422017,0.182562901,0.156929596,0.195250296,0.186055107,0.165651793
Oxiglutathione,0.060480427,0.055139808,0.075951638,0.047270047,0.047876035,0.035187613,0.043613103,0.030167868,0.041358285,2.601341188,2.59068351,2.470827912,2.521581505,2.3592245
Pantothenic acid,0.001030094,0.000866402,0.000490851,0.001520053,0.000186013,0.000905904,0.001849494,0.000185679,0.00054103,0.024765578,0.033195403,0.034828308,0.028139818,0.026359957
Phenylalanine,0.001269281,0.000994293,0.001451993,0.001317366,0.001379101,0.001202573,0.001168841,0.001202235,0.001633374,0.058603172,0.05463411,0.062917642,0.05333386,0.060799709
Phosphoenolpyruvate,0.010018352,0.006047459,0.006304243,0.007521091,0.014966116,0.011125354,0.009713409,0.017396536,0.018758291,0.404711599,0.43120681,0.47133394,0.46508706,0.498924094
Phosphorylethanolamine,0.012977859,0.013307194,0.009451167,0.01038099,0.007200097,0.009673626,0.006922766,0.006592232,0.005413526,0.336318486,0.349353154,0.37838606,0.354720464,0.381870211
Phosphoserine,1.44E-05,1.37E-05,1.29E-05,1.51E-05,1.69E-05,9.90E-06,1.22E-05,2.51E-05,1.51E-05,0.000640136,0.000622427,0.000597413,0.000478709,0.000523653
Proline,0.015288593,0.011735051,0.009999454,0.009499977,0.010939685,0.010430308,0.011062149,0.010682948,0.013950831,0.455268697,0.450359545,0.4824808,0.446161685,0.432141371
Pyroglutamic acid,0.002979936,0.002122246,0.003389831,0.003344172,0.003102321,0.003539178,0.004140026,0.001902697,0.004109454,0.143406935,0.135292197,0.151980454,0.144691417,0.147734049
Pyruvate,0.004818563,0.00169763,0.003755375,0.004661874,0.004075527,0.002494657,0.003060845,0.002753761,0.001812395,0.142232347,0.194332406,0.09670701,0.133676696,0.123983401
Ribose-5P,0.001479176,0.001342244,0.00085407,0.000854598,0.002695966,0.001337996,0.001032031,0.002453857,0.001512167,0.057774164,0.060977469,0.061708829,0.062627739,0.061444977
Sedoheptulose-7P,0.000589513,0.000569921,0.000340389,0.000383579,0.001116772,0.000933968,0.000963316,0.001260257,0.00105855,0.033814867,0.033061245,0.032498574,0.035503607,0.035272359
Serine,0.009650952,0.005894759,0.012090152,0.011259411,0.007880123,0.007035618,0.005740407,0.006211139,0.006575215,0.393130954,0.422072696,0.415158316,0.401413492,0.404387092
Succinate,0.003950531,0.003355146,0.003931117,0.004081271,0.002811452,0.003230334,0.003048639,0.004453256,0.0039365,0.151858567,0.143074781,0.146990731,0.150844489,0.148591368
Succinyl_AMP,9.60E-05,7.96E-05,0.000169124,8.11E-05,0.0001614,0.000152768,0.00015619,4.21E-05,0.000226853,0.005159727,0.005916067,0.005720041,0.005503985,0.005645329
Succinyladenosine,9.35E-05,9.55E-05,7.44E-05,6.77E-05,0.000119685,7.86E-05,6.83E-05,8.67E-05,0.000107508,0.003696151,0.003544094,0.004025387,0.004250865,0.004293698
Taurine,0.227373274,0.295369193,0.206564433,0.163995753,0.141270804,0.164480567,0.12394762,0.158233471,0.140551288,7.631865788,7.015819563,7.106295179,7.358904181,7.164412807
TDP,4.48E-06,1.15E-06,1.90E-05,6.11E-06,8.99E-05,0.000137774,0.000144237,8.12E-05,0.000288817,0.003728967,0.005319543,0.002572291,0.003473927,0.003075722
Threonine,0.002502887,0.001693751,0.003100691,0.002894508,0.001986813,0.001795728,0.00178353,0.001610299,0.001611051,0.091084039,0.094026979,0.101355921,0.099456063,0.097262314
Tryptophan,0.000679631,0.00051032,0.000610007,0.000595681,0.000213898,0.000218978,0.000522081,0.000449878,0.000642048,0.023053325,0.019733593,0.021312608,0.023611656,0.020958319
Tyrosine,0.002056089,0.001646332,0.002363119,0.002290069,0.002436994,0.002319704,0.002121022,0.001908037,0.002852814,0.095645379,0.093978946,0.095966189,0.095062466,0.094529377
UDP,0.011095867,0.011670735,0.008032039,0.00875598,0.003051719,0.00975495,0.012275831,0.008882795,0.015688252,0.313547536,0.311242035,0.335691392,0.330899051,0.352445212
UDP-HexNac,0.006038684,0.006027328,0.006776885,0.005062741,0.004864935,0.00619155,0.006477445,0.005443625,0.011293622,0.215620865,0.216178736,0.222499673,0.228423681,0.246618333
UDP-hexose,0.004118998,0.003695529,0.00289563,0.003197967,0.004554683,0.005160284,0.005570266,0.004984575,0.008973272,0.146518996,0.155388052,0.162079228,0.161716528,0.166250156
UMP,0.002264719,0.001940271,0.002202772,0.00189998,0.002657555,0.001755375,0.002356942,0.002065216,0.003876398,0.097396637,0.095871446,0.095258704,0.092204996,0.093711732
Uracil,9.98E-05,8.36E-05,9.41E-05,7.18E-05,0.001319065,0.00014806,0.000106904,0.000162272,0.000392171,0.012578429,0.014796746,0.014984636,0.011749822,0.014761944
Uric acid,4.50E-05,2.97E-05,4.93E-05,3.20E-05,3.54E-05,3.44E-05,3.66E-05,2.65E-05,6.46E-05,0.001695472,0.00163521,0.001813085,0.001716787,0.001671076
Uridine,4.93E-05,4.70E-05,5.76E-05,5.32E-05,0.000390176,0.000105965,9.76E-05,7.62E-05,0.000204148,0.00630174,0.005295623,0.005245314,0.006119595,0.005347783
UTP,0.001130173,0.000901509,0.000995675,0.000807838,0.000738088,0.000539389,0.000516218,0.000649441,0.000656041,0.025806271,0.026120238,0.024266734,0.0326961,0.027322268
Valine,0.002790398,0.002112446,0.003107343,0.002466574,0.002520436,0.002960925,0.002166024,0.002768662,0.002619587,0.118951074,0.090375235,0.128897849,0.097251513,0.116113673
Xanthine,0.000105877,6.38E-05,0.000137305,0.000119608,8.55E-05,7.52E-05,8.16E-05,7.20E-05,0.000291797,0.006593112,0.006471173,0.006118398,0.006790379,0.006185616
